,Unnamed: 0.1,Unnamed: 0,price,artist,fame,title,yearCreation,signed,condition,period,movement
423,423,423,2.250 USD,RENÉ LALIQUE,157.0,Drawings of a Pendant and Comb,1890 - 1899,Drawing of pendant inscribed emaillé and numbered 60 and 301.Drawing of comb numbered 80 and 367.,"Overall both drawings are in good condition.Pendant drawing:A few small losses to the sheet in all four corners.Along the upper edge there are three vertical repaired tears, the longest of which measures 4 inches, and an additional repaired loss.Along the center of the left edge, there are several repaired losses which together measure 5 ½ x ½ inches and a horizontal repaired tear measuring 2 inches.Along the center of the lower edge, there is a repaired loss measuring 3 x ¼ inches. In the upper right quadrant, between two pendant designs, there is a network of interconnected repaired losses and tears, the total area of which measures 1 ½ x 2 inches.Along the right edge there is a ½ inch loss.A few flattened handling creases throughout.Comb drawing:Small losses to the sheet in the upper left and lower right corners.Along the lower edge there is a ½ inch repaired tear and a ¼ inch nick in the sheet.Along the right edge there is a ½ inch tear.Along the left edge there is a repaired tear measuring 1 ½ inches.In the upper right quadrant of the sheet, there is a C-shaped repaired tear measuring 4 ½ inches in length. Another 1 inch repaired tear in the same area.Other handling creases in the sheet throughout.",19th Century,Art Nouveau
424,424,424,6.000 USD,Paul Jenkins,130.0,Hellenic Ode,1959,"Signed Paul Jenkins towards lower right; signed Paul Jenkins, titled ""Hellenic Ode"", situated Paris and dated 1959 on the reverse",Not examined out of frame. Minor loss to gilding on frame. Surface wear to plexiglass. ,Post-War,Abstract Expressionism
425,425,425,7.000 USD,Ruth Bernhard,129.0,Classic Torso,1952,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print is in generally excellent condition.There is blue discoloration, possibly an ink deposit, in the upper corners of the reverse of the mount. 'B625' and '635' are written in pencil in an unidentified hand on the reverse.",Post-War,Realism
426,426,426,3.000 USD,Albert Clark &amp; Son,0.0,Horse In A Stable,1894,Signed and dated Albert Clark & Son in paint lower left,This work is in good condition with wear commensurate with age and use.Artwork has not been examined outside of frame.Paint loss including scratches.,19th Century,Traditional
427,427,427,6.000 USD,Ruth Bernhard,129.0,Eagle/Edin,Circa 1941,"Signed, titled, dated '1946,' and annotated 'only one proof' in pencil on the reverse.","This print, on paper with a slight surface sheen, and flush-mounted to board, is in generally very good condition. Visible under close examination are some impressions, scratches, and deposits of original retouching. The print is trimmed to the image and there is minor wear and chipping to the edges and corners.The reverse is appropriately age darkened and soiled. There are several tape remnants, some graphite framing guidelines, and two hinge remnants in the upper left and upper right corners. 'RB246' is written in pencil in an unidentified hand.When examined under ultraviolet light, this print does not appear to fluoresce.",Modern,Realism
428,428,428,4.000 USD,Ruth Bernhard,129.0,With Turban No. 1,1962,"Signed in pencil on the mount, signed, titled, and dated '1971' on the reverse of the mat.","This print, with a semi-glossy surface, is in generally excellent condition. Under close examination, some deposits of original retouching and some very faint impressions are visible. A thin excess of dry-mounting tissue is visible on the mount at periphery of the print. The mount is yellowed overall and there is a rust-colored deposit near the signature.  There is a Ginny Williams Collection label on the reverse of the mat.",Post-War,Realism
429,429,429,7.000 USD,Ruth Bernhard,129.0,Creation ,1936,"Signed, titled, dated, and annotated 'TOP' in pencil, the photographer's ‘2982 Clay Street, San Francisco, California, 94115’ studio label, annotated 'Dolls head' in ink, on the reverse.","This print, on paper with a surface sheen and flush-mounted to board, is in generally good condition. Under close examination, the following are visible: faint impressions and scratches; deposits of original retouching; ink deposits along the upper edge; and a glossy area parallel to the lower edge. Visible under raking light are several translucent liquid drips, each approximately 7 inches long, extending from the upper edge.The edges and corners are bumped and there are tiny losses to the emulsion. The upper right corner is creased but does not appear to break the emulsion. The edges of the board are inked.  The reverse is soiled. There are yellowed adhesive remnants and abrasions suggesting that the print was previously affixed to a secondary mount. 'RB124' is written in pencil in an unidentified hand on the reverse.When examined under ultraviolet light, this print does not appear to fluoresce.",Modern,Realism
430,430,430,4.000 USD,Ruth Bernhard,129.0,Abstract Torso,1947,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",This print is in excellent condition.There are some deposits of original retouching.,Post-War,Abstract
431,431,431,4.000 USD,Ruth Bernhard,129.0,Dark Torso with Hands,1971,"Signed, titled, and dated in pencil on the reverse.","This work is in excellent condition.This print on double-weight paper with a surface sheen, is in generally excellent condition. Under close examination, there are some scattered shallow impressions. The photograph is printed to the image and the edges are worn.'RB138' and 'OUT' are written in pencil in an unidentified hand on the reverse. The upper right corner of the reverse is soiled.",Post-War,Realism
432,432,432,3.000 USD,Ruth Bernhard,129.0,Joan,1962,Signed in pencil on the reverse.,"This solarized print, on Agfa paper, is in generally excellent condition. There is a 3-inch diagonal crease in the upper right corner that does not appear to break the emulsion. 'RB147' is written in pencil in an unidentified hand on the reverse.",Post-War,Realism
